output/FLOPS_DP_gw4a64fxlogin01_22.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_23.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_24.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_25.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_26.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_27.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_28.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_29.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_2.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_30.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_31.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_32.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_33.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_34.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_35.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_36.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_37.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_38.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_39.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_3.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_40.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_41.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_42.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_43.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
